CopyrightCode,citations,dates,imageLink,notes,outcome,titles,totalNumber,uniqueID
G-CMX,"Fonds 217, Series 249, File 276, Item 1",1959 - 1962,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0217/ser0249/f0217_s0249_fl0276_it0001.jpg,,Not Locatable,H. Carnegie's Presentation,+1,437050
NG-CC,"Fonds 124, File 3, Item 144","December, 1987",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0003_id0144.jpg,,Locatable: Cross-streets,"Bay Street, south side, Adelaide Street West to Temperance Street",+1,429482
G-CC,"Fonds 200, Series 1465, File 561, Item 20",[between 1990 and 1993],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0561_it0020.jpg,,Not Locatable,King East elevations,+1,553908
,,,,,Empty,,,
PDP,"Fonds 1231, Item 1888","July 31, 1929",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1231/f1231_it1888.jpg,,Locatable: Place name,Spadina Road bridge (Old - East elevation),+1,81003
PDP,"Fonds 200, Series 372, Subseries 1, Item 1819","August 24, 1953",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0001/s0372_ss0001_it1819.jpg,,Locatable: Place name,Osler Fieldhouse,+1,102543
NG-CC,"Fonds 1257, Series 1057, Item 1471",1937,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it1471.jpg,,Not Locatable,"Billie Hallam, Miss Toronto 1937, wearing Toronto Maple Leafs Baseball Club outfit, striking baseball pose in alley",+1,212262
NG-CC,"Fonds 1257, Series 1057, Item 6411",1975,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it6411.jpg,,Locatable: Place name,Construction at Humber Memorial Hospital,+1,217226
NG-CC,"Fonds 1526, File 2, Item 6","September 17, 1974",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0002_it0006.jpg,,Locatable: Cross-streets,View of the upper floor of the Royal Bank building at Yonge and Bloor Street,+1,462406
NG-CC,"Fonds 1567, Series 648, File 236, Item 11",1968,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1567/ser648/s0648_fl0236_id0011.jpg,,Locatable: Place name,"Cable installation at Royal York Station, and control room at Main Station",+1,447955
G-CNC,"Fonds 16, Series 574, File 15, Item 49342",1950,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser574/s0574_fl0015_id49342.jpg,"No cross-street in description, but you can read it in the photo.",Maybe,Yonge Street subway construction,+1,428301
PDP,"Fonds 1244, Item 3038",[ca. 1930],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1244/f1244_it3038.jpg,,Not Locatable,Auxiliary class mental test,+1,206948
NG-CMX,"Fonds 213, Series 1464, File 12, Item 3",1977,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1464/s1464_fl0012_id0003.jpg,,Not Locatable,Housing,+1,439321
G-CC,"Fonds 200, Series 1465, File 375, Item 35",[between 1978? and 1983],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0375_it0035.jpg,,Locatable: Place name,Algonquin Island looking south-west ,+1,452153
NG-CC,"Fonds 1257, Series 1057, Item 4261",[197-],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it4261.jpg,,Locatable: Place name,"Maple Leafs hockey player Darryl Sittler and Rosemarie for March of Dimes Put Yourself in the Picture campaign, Maple Leaf Gardens",+1,215069
NG-CC,"Fonds 220, Series 65, File 56, Item 137",1959,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0220/ser0065/s0065_fl0056_it0137.jpg,someone might recognize the church; resolution is too low to read the street signs,Maybe,Avenue Road widening,+1,571433
PDP,"Fonds 200, Series 372, Subseries 60, Item 66","January 4, 1924",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0060/s0372_ss0060_it0066.jpg,,Not Locatable,General view Pier B below,+1,296804
G-CC,"Fonds 2032, Series 841, File 70, Item 16",1972,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser841/s0841_fl0070_it0016.jpg,,Locatable: Cross-streets,"Corner of Sherbourne St. and the Gardiner Expressway, looking south-west",+1,622037
PDP,"Fonds 200, Series 372, Subseries 1, Item 500","March 9, 1922",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0001/s0372_ss0001_it0500.jpg,,Locatable: Place name,College Street Fire Hall,+1,100487
G-CC,"Fonds 200, Series 1465, File 177, Item 66",[ca. 1980],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0177_id0066.jpg,,Locatable: Place name,"Village by the Grange, McCaul",+1,445253
NG-CC,"Fonds 1526, File 53, Item 48","July 6, 1978",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0053_it0048.jpg,,Locatable: Cross-streets,"Bank of Upper Canada - Adelaide, east of York",+1,517355
PDP,"Fonds 1266, Item 17199","July 6, 1929",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it17199.jpg,,Locatable: Cross-streets,"Carlaw and Commissioner [i.e. Commissioners] Streets, warehouse fire",+1,299222
PDP,"Fonds 200, Series 372, Subseries 60, Item 71","January 10, 1924",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0060/s0372_ss0060_it0071.jpg,,Not Locatable,Pier C excavation,+1,296809
TTC-PDP,"Fonds 16, Series 71, Item 10494","June 28, 1934",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser71/s0071_it10494.jpg,,Locatable: Cross-streets,"Bloor St, west of Dovercourt, 12:45 p.m., see #4347-1926, (Way Department)",+1,49134
G-CC,"Fonds 200, Series 1465, File 621, Item 16",[between 1980 and 1994],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0621_it0016.jpg,,Not Locatable,Unidentified location,+1,555473
TTC-PDP,"Fonds 16, Series 71, Item 4106","October 13, 1925",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser71/s0071_it4106.jpg,,Locatable: Place name,"Roncesvalles Car House, (Buildings Department)",+1,39510
G-CC,"Fonds 200, Series 1465, File 267, Item 23",[between 1980 and 1998],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0267_it0023.jpg,,Locatable: Address,28 Washington,+1,449090
G-CC,"Fonds 200, Series 1465, File 445, Item 7",[between 1980 and 1984],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0445_it0007.jpg,,Not Locatable,Installing decorative paving,+1,550828
NG-CC,"Fonds 329, Series 1569, File 1453, Item 34","November, 1989",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0329/ser1569/s1569_fl1453_it0034.jpg,,Not Locatable,"Itzhak Perlman, violin virtuoso and conductor, in Q&A; session with the Toronto Symphony Youth Orchestra",+1,579873
NG-CC,"Fonds 1128, Series 381, File 40, Item 6716-1","April 3, 1950",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser381/s0381_fl0040_id6716-1.jpg,,Not Locatable,Joy Frocks Ltd.,+1,425856
G-CC,"Fonds 200, Series 1465, File 429, Item 21",[1986 or 1987],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0429_it0021.jpg,,Locatable: Place name,Interior of BCE Place looking south to Front,+1,550251
PDP,"Fonds 1266, Item 16714","May 28, 1929",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it16714.jpg,,Not Locatable,"Anglican Synod, Reverend Canon Plumptre, Reverend W.H. White, Reverend Sydney Childs",+1,298393
G-CC,"Fonds 200, Series 1465, File 501, Item 19",[between 1985 and 1994],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0501_it0019.jpg,,Locatable: Place name,Plan of Trinity Square Park,+1,552472
PDP,"Fonds 1484, Series 331, File 38, Item 5",[between 1919 and 1940],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1484/ser0331/s0331_fl0038_it0005.jpg,,Locatable: Place name,St. Christopher House playground,+1,529728
G-CNC,"Fonds 16, Series 574, File 53, Item 49749",1951,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser574/s0574_fl0053_id49749.jpg,cross street is hand-written on image,Locatable: Cross-streets,Yonge Street subway construction,+1,428646
G-CC,"Fonds 200, Series 1465, File 146, Item 5",[between 1980 and 1998],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0146_id0005.jpg,,Locatable: Place name,Harbour Square looking west,+1,444135
G-CC,"Fonds 200, Series 1465, File 309, Item 19",[between 1978 and 1980],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0309_it0019.jpg,,Locatable: Place name,Interior of College Park,+1,450096
NG-CC,"Fonds 124, File 1, Item 73","July, 1961",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0001_id0073.jpg,,Locatable: Place name,Ryerson School,+1,429103
G-CC,"Fonds 200, Series 1465, File 481, Item 29",[between 1976 and 1995],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0481_it0029.jpg,,Locatable: Place name,Barbeque and picnic facilities in High Park,+1,551871
NG-CC,"Fonds 1257, Series 1057, Item 4315",[ca. 1950],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it4315.jpg,,Not Locatable,"Harry Stone of House of Stone, Clothiers, with unidentified man and Carling Red Cap Trophy",+1,215123
NG-CC,"Fonds 220, Series 65, File 650, Item 15","December 8, 1970",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0220/ser0065/s0065_fl0650_it0015.jpg,,Locatable: Place name,Official opening of Eglinton Bridge,+1,522631
PDP,"Fonds 1266, Item 13038","April 2, 1928",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it13038.jpg,,Not Locatable,"R.R. yds, engines on [siding]",+1,288696
G-CC,"Fonds 200, Series 1465, File 367, Item 15",[between 1981 and 1983],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0367_it0015.jpg,"via ""Forms part of: File 367; Spadina Quay""",Locatable: Place name,Model of waterfront redevelopment,+1,451895
NG-CC,"Fonds 1598, File 4, Item 98",1967,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1598/f1598_fl0004_id0098.jpg,,Not Locatable,Relief of man behind a desk by Frank Gallo,+1,438602
G-CC,"Fonds 200, Series 1465, File 567, Item 9",[between 1990 and 1994],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0567_it0009.jpg,,Not Locatable,Unidentified location,+1,554063
NG-CC,"Fonds 1567, Series 648, File 244, Item 3","May 10, 1968",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1567/ser648/s0648_fl0244_id0003.jpg,,Locatable: Cross-streets,Opening of Bloor-Danforth subway extensions,+1,448332
NG-CC,"Fonds 124, File 3, Item 181","August 11, 1989",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0003_id0181.jpg,,Locatable: Place name,"Skydome, Michael Snow sculpture",+1,429519
PDP,"Fonds 1266, Item 15843","March 4, 1929",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it15843.jpg,,Not Locatable,"Etobicoke Creek, ice jam and flood",+1,293214
G-CC,"Fonds 200, Series 1465, File 469, Item 38",[198-?],https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0469_it0038.jpg,,Locatable: Place name,South-east corner of Metropolitan United Church,+1,551530
NG-CC,"Fonds 1526, File 62, Item 88","May 25, 1977",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0062_it0088.jpg,,Locatable: Cross-streets,"Seaton St, west side, south of Dundas East",+1,518372
PDP,"Fonds 1231, Item 1101","August 19, 1921",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1231/f1231_it1101.jpg,,Maybe,"C.N.R. yard, east at John Street",+1,80183
NG-CC,"Fonds 1567, Series 648, File 68, Item 8",1960,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1567/ser648/s0648_fl0068_id0008.jpg,,Not Locatable,TTC and Gray Coach Lines Ltd. advertising posters,+1,441684